year,samplingLocation,sampColor,Lattitude,Longitude,dateRange,dateSample,fieldNumber,cropPhenology,plotID,Disease.Incidence,Disease.Severity
2018,Bhola,greenSouth,22.61127,90.614469,secondSampling,Thu Mar 01 00:00:00 UTC 2018,6,heading,BholagreenSouthsecondSampling6heading,0,0
2018,Bhola,greenSouth,22.612498,90.618352,secondSampling,Thu Mar 01 00:00:00 UTC 2018,7,heading,BholagreenSouthsecondSampling7heading,0,0
2018,Bhola,greenSouth,22.611601,90.661853,secondSampling,Thu Mar 01 00:00:00 UTC 2018,8,stemElongation,BholagreenSouthsecondSampling8stemElongation,0,0
2018,Bhola,greenSouth,22.608526,90.662346,secondSampling,Thu Mar 01 00:00:00 UTC 2018,9,heading,BholagreenSouthsecondSampling9heading,0,0
2018,Bhola,greenSouth,22.610409,90.658909,secondSampling,Thu Mar 01 00:00:00 UTC 2018,10,heading,BholagreenSouthsecondSampling10heading,0,0
2018,Bhola,greenSouth,22.608127,90.659413,secondSampling,Thu Mar 01 00:00:00 UTC 2018,11,heading,BholagreenSouthsecondSampling11heading,0,0
2018,Bhola,greenSouth,22.60656,90.660337,secondSampling,Thu Mar 01 00:00:00 UTC 2018,12,heading,BholagreenSouthsecondSampling12heading,0,0
2018,Bhola,greenSouth,22.606535,90.66298,secondSampling,Thu Mar 01 00:00:00 UTC 2018,13,heading,BholagreenSouthsecondSampling13heading,0,0
2018,Bhola,greenSouth,22.612339,90.663899,secondSampling,Thu Mar 01 00:00:00 UTC 2018,14,heading,BholagreenSouthsecondSampling14heading,0,0
2018,Bhola,greenSouth,22.613979,90.663219,secondSampling,Thu Mar 01 00:00:00 UTC 2018,15,heading,BholagreenSouthsecondSampling15heading,0,0
2018,Bhola,greenSouth,22.61303,90.658875,secondSampling,Thu Mar 01 00:00:00 UTC 2018,16,stemElongation,BholagreenSouthsecondSampling16stemElongation,0,0
2018,Bhola,greenSouth,22.604523,90.662565,secondSampling,Thu Mar 01 00:00:00 UTC 2018,17,stemElongation,BholagreenSouthsecondSampling17stemElongation,0,0
2018,Bhola,greenSouth,22.604182,90.667219,secondSampling,Thu Mar 01 00:00:00 UTC 2018,18,stemElongation,BholagreenSouthsecondSampling18stemElongation,0,0
2018,Bhola,greenSouth,22.602152,90.663423,secondSampling,Thu Mar 01 00:00:00 UTC 2018,19,stemElongation,BholagreenSouthsecondSampling19stemElongation,0,0
2018,Bhola,greenSouth,22.599838,90.664191,secondSampling,Thu Mar 01 00:00:00 UTC 2018,20,stemElongation,BholagreenSouthsecondSampling20stemElongation,0,0
2018,Bhola,greenSouth,22.601732,90.665306,secondSampling,Thu Mar 01 00:00:00 UTC 2018,21,heading,BholagreenSouthsecondSampling21heading,0,0
2018,Bhola,greenSouth,22.601943,90.667244,secondSampling,Thu Mar 01 00:00:00 UTC 2018,22,stemElongation,BholagreenSouthsecondSampling22stemElongation,0,0
2018,Bhola,yellowNorth,22.736522,90.599278,secondSampling,Wed Feb 28 00:00:00 UTC 2018,1,heading,BholayellowNorthsecondSampling1heading,0,0
2018,Bhola,yellowNorth,22.734494,90.600465,secondSampling,Wed Feb 28 00:00:00 UTC 2018,2,stemElongation,BholayellowNorthsecondSampling2stemElongation,0,0
2018,Bhola,yellowNorth,22.732518,90.601357,secondSampling,Wed Feb 28 00:00:00 UTC 2018,3,heading,BholayellowNorthsecondSampling3heading,0,0
2018,Bhola,yellowNorth,22.735894,90.601344,secondSampling,Wed Feb 28 00:00:00 UTC 2018,4,heading,BholayellowNorthsecondSampling4heading,0,0
2018,Bhola,yellowNorth,22.734622,90.603107,secondSampling,Wed Feb 28 00:00:00 UTC 2018,5,stemElongation,BholayellowNorthsecondSampling5stemElongation,0,0
2018,Bhola,yellowNorth,22.755087,90.607735,secondSampling,Wed Feb 28 00:00:00 UTC 2018,6,heading,BholayellowNorthsecondSampling6heading,0,0
2018,Bhola,yellowNorth,22.755087,90.607735,secondSampling,Thu Mar 01 00:00:00 UTC 2018,7,flowering,BholayellowNorthsecondSampling7flowering,0,0
2018,Bhola,yellowSouth,22.647365,90.61911,secondSampling,Wed Feb 28 00:00:00 UTC 2018,1,stemElongation,BholayellowSouthsecondSampling1stemElongation,0,0
2018,Bhola,yellowSouth,22.647769,90.617502,secondSampling,Wed Feb 28 00:00:00 UTC 2018,2,stemElongation,BholayellowSouthsecondSampling2stemElongation,0,0
2018,Bhola,yellowSouth,22.645925,90.622052,secondSampling,Wed Feb 28 00:00:00 UTC 2018,3,stemElongation,BholayellowSouthsecondSampling3stemElongation,0,0
2018,Bhola,yellowSouth,22.648951,90.620307,secondSampling,Wed Feb 28 00:00:00 UTC 2018,4,stemElongation,BholayellowSouthsecondSampling4stemElongation,0,0
2018,Bhola,yellowSouth,22.645026,90.618858,secondSampling,Wed Feb 28 00:00:00 UTC 2018,5,stemElongation,BholayellowSouthsecondSampling5stemElongation,0,0
2018,Bhola,yellowSouth,22.6255,90.62,secondSampling,Wed Feb 28 00:00:00 UTC 2018,6,stemElongation,BholayellowSouthsecondSampling6stemElongation,0,0
